"","x"
"1461",130062.552700337
"1462",160300.404059158
"1463",190487.896795217
"1464",198666.184104439
"1465",204986.696864578
"1466",174895.513895993
"1467",191383.469249877
"1468",165212.045812476
"1469",196210.646832946
"1470",119823.577674983
"1471",199212.340466106
"1472",95367.911885292
"1473",94198.0394448839
"1474",144362.346372318
"1475",112232.616398981
"1476",354584.680436791
"1477",252921.140411342
"1478",314081.343869322
"1479",279997.173276081
"1480",466077.205149359
"1481",322532.543991137
"1482",214399.997370698
"1483",182317.110698791
"1484",159967.328331768
"1485",183141.796745071
"1486",195834.700961536
"1487",317843.99234927
"1488",253427.532537362
"1489",190068.975914372
"1490",233505.480259871
"1491",196954.813993027
"1492",98157.7046529443
"1493",190519.082669567
"1494",309516.601443298
"1495",299185.451563163
"1496",220446.984340892
"1497",186569.994220895
"1498",163960.18605246
"1499",164418.394883505
"1500",156894.165221302
"1501",177634.204481001
"1502",148956.690591128
"1503",300284.136455517
"1504",251207.825236909
"1505",217393.708926732
"1506",190681.764827828
"1507",241908.376052635
"1508",214124.7165417
"1509",161688.036397035
"1510",143895.795444626
"1511",150727.393854827
"1512",184461.61854296
"1514",168469.363958616
"1515",199778.088885409
"1516",161067.030193045
"1517",168145.958848171
"1518",138445.35023701
"1519",213788.551830755
"1520",130493.614520913
"1521",134054.912635393
"1522",171780.669521734
"1523",114936.202268504
"1524",132310.339740085
"1525",122406.198394649
"1526",127687.460907048
"1527",110869.202841392
"1528",146573.856065425
"1529",141601.13187818
"1530",198128.08934875
"1531",108605.123095028
"1532",101536.725375104
"1533",156282.073799648
"1534",132835.52850198
"1535",163145.195996788
"1536",117359.469921732
"1538",161030.270110188
"1539",226620.676337456
"1540",87000.1467992631
"1541",144175.808975606
"1542",141787.371371016
"1543",194910.795866762
"1544",87577.4870011275
"1545",126590.080782896
"1546",115285.281025429
"1547",124150.358567575
"1548",136099.45556933
"1549",110979.523044481
"1550",122069.55076431
"1551",117508.09161355
"1552",120817.636857026
"1553",141327.081201185
"1554",113470.392590334
"1555",165178.621079028
"1556",71126.2336053006
"1557",110164.655093425
"1558",98488.9011666492
"1560",148795.057982961
"1561",148967.77040013
"1562",127751.106862354
"1563",117380.98868072
"1564",156038.677688998
"1565",140163.698661509
"1566",272364.181881024
"1567",76784.8373577689
"1568",227454.87720221
"1569",152507.38783755
"1570",140176.643558225
"1571",134453.910598083
"1572",149523.917157723
"1574",103368.199155294
"1575",236819.885236081
"1576",254585.295615161
"1577",182295.561340169
"1578",147525.016220181
"1579",149972.059857038
"1580",200962.966542596
"1581",158397.537543026
"1582",122536.924920498
"1583",318881.249168367
"1584",209121.733186927
"1585",135603.085141315
"1586",58078.1820150276
"1587",102437.03044506
"1588",150563.132374743
"1589",111636.748366024
"1590",137061.114520691
"1591",91509.7417485692
"1592",128074.533645897
"1593",121552.03913507
"1595",100545.668931291
"1596",208239.619406922
"1597",185155.977023207
"1598",220607.428283635
"1599",187104.904774426
"1600",172037.164528614
"1601",75509.7962088039
"1602",116100.8302037
"1603",59829.2170833417
"1604",258905.197884955
"1605",278757.667864379
"1606",177848.32921995
"1607",179529.547517989
"1608",216746.284321195
"1609",182465.85266236
"1610",155149.338281845
"1611",146326.027379125
"1612",171708.055780059
"1613",165688.932536496
"1614",126962.554891156
"1615",89547.4673216376
"1616",73725.6733452882
"1617",95930.127369703
"1618",121972.122868502
"1619",140997.306311806
"1621",149696.187477161
"1622",145684.16404335
"1623",285085.652291439
"1624",213442.058620597
"1625",120637.929201437
"1626",165752.410471209
"1627",192668.426552521
"1628",299962.298167021
"1629",183395.288844814
"1630",332140.379051412
"1631",229122.899673068
"1632",252557.84592553
"1633",168983.691429126
"1634",189010.17153948
"1635",179117.244525223
"1636",151134.249588767
"1637",214963.814351554
"1638",201486.019645337
"1639",196619.892404842
"1640",273958.858773837
"1641",192993.013422773
"1642",227633.391033758
"1643",236762.477013728
"1644",248531.886841601
"1645",206985.911244765
"1646",156402.41308514
"1647",159885.516382855
"1648",131502.685880165
"1649",139647.6127337
"1650",115223.564522236
"1651",122189.438710369
"1652",98866.8360618602
"1653",103263.847437869
"1654",140185.133658418
"1655",138199.036375305
"1656",138283.747425389
"1657",142806.835750216
"1658",137872.643623337
"1659",120870.150485748
"1660",153376.763516772
"1661",435125.421737718
"1662",417114.097682261
"1663",379727.900017302
"1664",462663.75264107
"1665",310525.902222715
"1666",313886.926111577
"1667",354057.510974834
"1668",341117.83388668
"1669",328899.596101396
"1670",359320.548878411
"1671",243538.746677758
"1672",436228.603886757
"1673",293312.872906429
"1674",248317.913830246
"1675",187887.13550606
"1676",189518.663603355
"1677",213533.911986123
"1678",523762.046331746
"1679",347497.579384691
"1680",323671.037950046
"1681",253317.312322795
"1682",299357.959738909
"1683",175383.54887018
"1684",181945.839120576
"1685",170660.066212933
"1686",165910.083612706
"1687",166027.682849387
"1688",189480.370765008
"1689",191122.868567219
"1690",196383.271255165
"1691",182281.111391801
"1692",281698.281398936
"1693",174752.846215849
"1694",184288.029316353
"1695",163785.833267841
"1696",281397.471936743
"1697",174795.612334996
"1698",341913.864698622
"1699",313077.787026367
"1700",232629.690418766
"1701",274453.799021403
"1702",261185.207322942
"1703",257680.906712094
"1704",291103.281112149
"1705",224663.045231297
"1706",206009.703547189
"1707",197420.697961321
"1708",196227.482669669
"1709",304844.160802355
"1710",230409.338322932
"1711",285411.386780665
"1712",252326.968987754
"1713",268556.415192623
"1714",227809.083132881
"1715",211821.913426209
"1716",184783.135631753
"1717",170783.504176061
"1718",136990.857501022
"1719",203387.491390355
"1720",263961.132615961
"1721",168287.945569872
"1722",136685.827957857
"1723",167649.44633011
"1724",212407.657854063
"1725",230420.769672741
"1726",198863.276559343
"1727",165335.17306894
"1728",190434.881582791
"1729",175952.076835766
"1730",170050.904815846
"1731",122600.89084087
"1732",119905.538919018
"1733",114037.145498419
"1735",132830.056962905
"1736",118212.37989202
"1737",348426.935314802
"1738",262355.697746455
"1739",244990.045643564
"1740",198958.567168548
"1741",188817.277483927
"1742",177765.526286568
"1743",181446.669727534
"1744",289376.617487046
"1745",204516.359102478
"1746",218018.20613154
"1747",216863.62019077
"1748",234516.385703723
"1749",150999.063098536
"1750",145506.328587536
"1751",270528.813965371
"1752",127259.706833282
"1753",150008.08200226
"1754",210383.032060633
"1755",166222.122362521
"1756",125809.40822687
"1757",113952.817055873
"1758",149907.731872525
"1759",168572.104067896
"1760",168415.793800602
"1761",156168.302444748
"1762",178379.806602778
"1763",166052.30332299
"1764",118406.724761567
"1765",188370.361782696
"1766",186257.889589496
"1767",231738.33990468
"1768",141580.86627778
"1769",171447.176224319
"1770",145629.799506625
"1771",129571.083228634
"1772",138691.928427455
"1773",129823.507737638
"1774",149909.086304419
"1775",140676.267697503
"1776",127751.259988957
"1777",111583.522690824
"1778",147645.848514537
"1779",108466.691612672
"1780",194675.677252611
"1781",132988.077927444
"1782",88257.6459873844
"1783",140103.097335155
"1784",106707.796922184
"1785",122495.011307979
"1786",146793.111960303
"1787",165075.391892572
"1788",65217.2001427499
"1789",100315.97884983
"1790",85305.3389728327
"1791",197331.100959979
"1792",175581.05346728
"1793",121337.656957876
"1794",152169.173163663
"1795",134225.295795123
"1796",119759.273320095
"1797",120741.984627315
"1798",116648.51271932
"1799",109413.895552116
"1800",118440.925020827
"1801",136582.279498668
"1802",159708.015380109
"1803",146989.293260779
"1804",144412.231590577
"1805",135977.577829903
"1806",128751.938101515
"1807",134347.391274925
"1808",120148.000995326
"1809",116485.324274972
"1810",138995.357441426
"1811",97701.3922935718
"1812",95142.4394119598
"1813",126687.953300561
"1816",97678.1479876134
"1817",101539.104042054
"1818",148659.932704465
"1819",117363.524327875
"1820",47680.3841462303
"1822",151983.007364693
"1823",32828.5259991125
"1824",120002.994674293
