"","x"
"1461",127502.929955558
"1462",163979.635012917
"1463",185639.062419704
"1464",193106.306204272
"1465",212595.836561802
"1466",173012.938795511
"1467",190010.283343185
"1468",162608.394590782
"1469",188024.996367081
"1470",123539.109390018
"1471",194470.516284049
"1472",96283.2648009979
"1473",96781.822476325
"1474",149311.686056465
"1475",112947.636984121
"1476",368416.286044222
"1477",271222.625992902
"1478",308034.326380526
"1479",278122.005082186
"1480",436163.917733209
"1481",312950.30399277
"1482",217386.328443219
"1483",180718.76438331
"1484",161515.138960557
"1485",180659.276851758
"1486",193568.313626075
"1487",320922.623719831
"1488",238001.785126289
"1489",200330.338416283
"1490",232861.247738529
"1491",191157.545911239
"1492",95304.8694783881
"1493",183914.504186252
"1494",323174.71838969
"1495",308637.706734258
"1496",222362.880375977
"1497",188459.484304111
"1498",159660.90626543
"1499",161670.470706474
"1500",153752.444745644
"1501",171468.941953861
"1502",145016.576674866
"1503",287730.109627808
"1504",244364.133041086
"1505",222885.464672641
"1506",190489.502985762
"1507",230779.965702637
"1508",194567.805480961
"1509",161404.026306211
"1510",149988.31065523
"1511",150926.626624682
"1512",188559.446062238
"1514",158839.630266781
"1515",196780.696488687
"1516",161041.78818152
"1517",167635.473780211
"1518",137965.606648965
"1519",213704.503781301
"1520",132670.246226156
"1521",136065.98866224
"1522",177616.750519279
"1523",115334.82719736
"1524",130068.679196248
"1525",124630.546971943
"1526",115390.327590546
"1527",110657.472068463
"1528",147908.875728135
"1529",142994.883263096
"1530",182144.539531335
"1531",101170.305767008
"1532",99362.2284621547
"1533",161370.609473247
"1534",123526.723440953
"1535",161164.004364605
"1536",113328.37774
"1538",152443.564590762
"1539",205308.126155042
"1540",88432.0984788868
"1541",132723.344464932
"1542",147948.473648905
"1543",188967.25689707
"1544",95586.9958648649
"1545",121701.706905576
"1546",126774.247072975
"1547",134897.557081494
"1548",147596.281453574
"1549",120809.708946108
"1550",134323.589908698
"1551",114827.685045478
"1552",128343.914715023
"1553",138634.497679238
"1554",116380.639541502
"1555",177978.617758499
"1556",83032.0376712866
"1557",113027.408553537
"1558",97358.7556364078
"1560",140839.469665239
"1561",122259.655950406
"1562",128184.155679864
"1563",115191.695206664
"1564",158627.947710788
"1565",144144.853295453
"1566",245750.2073731
"1567",77976.9563546247
"1568",223454.78824723
"1569",137225.463572682
"1570",137457.984287162
"1571",125198.723734037
"1572",150151.217452347
"1574",120211.501292112
"1575",213811.600763346
"1576",254957.517789375
"1577",176620.171379131
"1578",140674.81247299
"1579",148606.817663067
"1580",195660.876134155
"1581",167675.24235912
"1582",127196.978442014
"1583",308675.476745444
"1584",214541.369275127
"1585",131385.321903568
"1586",62557.9270238664
"1587",98147.0916203374
"1588",148711.512347797
"1589",99819.3103768648
"1590",134063.41000848
"1591",92500.4185928545
"1592",126212.892797648
"1593",126407.314559441
"1595",120887.459592065
"1596",230832.162708947
"1597",199294.525850284
"1598",241234.359473397
"1599",169126.196670154
"1600",164907.053349482
"1601",72063.2035468359
"1602",110929.539410101
"1603",67320.7570897225
"1604",277758.845223731
"1605",245951.425759538
"1606",177379.17266258
"1607",173015.670055094
"1608",207587.950249584
"1609",187446.226809246
"1610",157688.691649617
"1611",140162.477188119
"1612",163093.953424524
"1613",161890.180269456
"1614",117660.47721765
"1615",92844.2276488139
"1616",78693.3920707798
"1617",97640.1387691015
"1618",120504.834082624
"1619",142758.199292037
"1621",139799.046258227
"1622",142398.481527246
"1623",260330.245808055
"1624",200789.811649412
"1625",115295.086698188
"1626",176429.102591371
"1627",187378.20450029
"1628",282645.027242906
"1629",181327.787041344
"1630",355656.511332235
"1631",238961.00075495
"1632",264908.070775675
"1633",167108.066019275
"1634",182263.112288634
"1635",174311.339823368
"1636",151368.404223332
"1637",202884.283314426
"1638",189138.546728415
"1639",184489.704643434
"1640",257992.937547353
"1641",179692.962364852
"1642",226072.647876331
"1643",231599.655581457
"1644",240981.272635527
"1645",212038.346493044
"1646",154044.128174534
"1647",158980.407061514
"1648",133250.969760792
"1649",142270.65568624
"1650",116857.510957734
"1651",128011.750059593
"1652",97926.7616193475
"1653",103766.703992514
"1654",143719.79681606
"1655",143809.225046496
"1656",140844.229992992
"1657",146747.947691358
"1658",141178.239382288
"1659",120680.361459842
"1660",155116.467203246
"1661",437172.926359675
"1662",431965.084456422
"1663",380127.445208206
"1664",551522.225293332
"1665",312248.582865781
"1666",322744.091080469
"1667",344781.923085668
"1668",343537.110634561
"1669",322674.599569983
"1670",361053.249662444
"1671",265302.48631576
"1672",445775.341793739
"1673",304194.208067583
"1674",254837.176848726
"1675",197074.708564081
"1676",193771.923115956
"1677",224940.708282375
"1678",471199.27431833
"1679",355466.627322298
"1680",341244.162395931
"1681",257784.845958524
"1682",307300.32750259
"1683",187141.1495072
"1684",180184.921090426
"1685",167859.37576887
"1686",165876.649213266
"1687",167460.398833046
"1688",187027.25617411
"1689",189042.294391487
"1690",192165.437657503
"1691",178398.048232413
"1692",264842.610333128
"1693",169027.343455139
"1694",179559.359538266
"1695",162070.397476035
"1696",271904.083123937
"1697",170282.595650781
"1698",351588.598215671
"1699",328784.039285413
"1700",248245.659015643
"1701",282230.731183256
"1702",252140.572229257
"1703",250614.060791681
"1704",282646.813056639
"1705",222022.352421686
"1706",200288.830655067
"1707",214169.680038599
"1708",202250.548522495
"1709",290130.378448171
"1710",219968.75199367
"1711",270119.170988189
"1712",264393.676096725
"1713",269800.779031914
"1714",235030.654703361
"1715",210047.691954949
"1716",179417.025367237
"1717",166626.325702089
"1718",135551.788458053
"1719",197836.743761288
"1720",249392.799042031
"1721",166500.050033036
"1722",134198.919775833
"1723",164808.80559321
"1724",206961.880519339
"1725",225259.308522709
"1726",191098.266042888
"1727",156556.690828996
"1728",186441.552493522
"1729",171534.716253504
"1730",157241.596450537
"1731",128088.199299742
"1732",122366.965941569
"1733",110825.886661755
"1735",127991.816233354
"1736",116022.484690788
"1737",309809.707319071
"1738",257895.034649487
"1739",239855.697583261
"1740",209439.681622573
"1741",183275.567814673
"1742",172124.01761148
"1743",182678.267447327
"1744",305379.547467512
"1745",207117.870371021
"1746",223518.991720408
"1747",208957.995794404
"1748",226946.70191185
"1749",151602.297844982
"1750",132572.996243081
"1751",241416.852013342
"1752",116682.447432326
"1753",155761.499536952
"1754",194026.854503943
"1755",165705.179433344
"1756",130474.103450895
"1757",116411.025145584
"1758",154027.465982675
"1759",173723.509662444
"1760",171202.337102701
"1761",152016.844453372
"1762",184784.826677484
"1763",177343.13121101
"1764",117389.707093629
"1765",187710.008561756
"1766",195000.7470379
"1767",232774.624274749
"1768",148369.500709366
"1769",173902.25994684
"1770",150903.953857845
"1771",124318.254911873
"1772",142532.480321706
"1773",128021.209264098
"1774",140408.071126757
"1775",138077.572801268
"1776",128564.164711072
"1777",107394.623676496
"1778",140412.23937594
"1779",111361.923821343
"1780",185164.243438447
"1781",132337.925840735
"1782",91274.0486465274
"1783",146451.453561624
"1784",103632.9393739
"1785",122555.332451219
"1786",135550.275609295
"1787",169021.198040142
"1788",65480.0784294559
"1789",98025.6021826917
"1790",79767.2601835406
"1791",187356.919121616
"1792",172109.971674584
"1793",130049.449978387
"1794",155936.795171376
"1795",134146.997028509
"1796",120140.60930711
"1797",114160.894677833
"1798",116882.683926965
"1799",111526.262474587
"1800",123070.575229038
"1801",145413.268027547
"1802",141311.868432327
"1803",154220.726253076
"1804",148133.956837201
"1805",137343.083805562
"1806",126654.513140039
"1807",128304.094756978
"1808",122075.696639787
"1809",119863.164241866
"1810",138016.812350918
"1811",98382.586150913
"1812",94875.5310912705
"1813",129256.342948563
"1816",93972.9652935125
"1817",107284.167388428
"1818",142409.905749753
"1819",117127.503897106
"1820",43413.2130037443
"1822",145029.887259952
"1823",37582.5875830053
"1824",131562.399960734
"1825",146512.424961589
"1826",101487.990668561
"1827",106593.145461861
"1828",142097.142461547
"1830",138216.291646319
"1831",157571.463582934
"1833",146319.493912906
"1834",121650.516900773
"1835",126686.16330234
"1836",128740.08272199
"1837",87160.7240854579
"1838",140502.806746093
"1839",97388.4345905515
"1840",148679.118794518
"1841",133353.991224028
"1842",83936.2703223102
"1843",125155.622253952
"1844",124073.275747734
"1845",142418.790381127
"1846",147873.540400526
"1847",181116.550699987
"1849",113268.130900139
"1850",116851.139447946
"1851",148779.008999175
"1852",122694.173923873
"1853",130460.824613469
"1854",174399.874156576
"1855",150315.235324029
"1856",209384.958040045
"1857",133747.294685625
"1858",147785.160700228
"1859",121830.59793083
"1860",137174.15494829
"1861",120749.347802828
"1865",331099.712534314
"1866",322314.112984086
"1867",228127.44600804
"1868",279208.50148842
"1869",197233.367611608
"1870",233832.505575784
"1871",233104.399080981
"1872",169756.115275964
"1873",231500.427991047
"1874",163676.463096721
"1875",218136.64499854
"1876",197119.940464544
"1877",219674.007611222
"1878",191768.271628077
"1879",129403.008273122
"1880",142593.15158601
"1881",246827.251481714
"1882",249902.294434967
"1883",193615.391738327
"1884",207795.825995683
"1885",251404.743428867
"1886",276563.112072942
"1887",215484.979028519
"1888",286205.209165191
"1889",167632.277795022
"1890",123281.241926586
"1891",129974.608886321
"1892",99275.1096012967
"1893",133684.726443756
"1894",123395.580834992
"1895",131248.646534484
"1896",119167.627018505
"1897",112107.287887495
"1898",121194.748148623
"1899",158811.906126126
"1900",156120.152735497
"1901",172007.238165405
"1902",166761.439779803
"1903",210818.078540369
"1904",147268.524960557
"1905",231324.557387508
"1906",150763.749643303
"1907",235271.825869846
"1908",108799.53105232
"1909",128901.45878728
"1910",120369.209020332
"1911",244668.335020658
"1912",337575.042510053
"1913",140475.992636207
"1914",53370.2205867963
"1915",289037.987492475
"1917",252232.834001521
"1918",136473.629235407
"1919",184494.776201015
"1920",160070.813412074
"1921",369764.306798591
"1922",318588.328735381
"1923",228719.729362767
"1924",213748.545946055
"1925",197501.778566097
"1926",359272.030514469
"1927",136159.424883222
"1928",159088.723013864
"1929",122291.461183174
"1930",130587.788044055
"1931",136367.056079085
"1932",140654.861493958
"1934",180830.118602543
"1935",166754.026040304
"1936",186202.964052544
"1937",183430.671466438
"1938",179346.376676671
"1939",231953.78020793
"1940",208367.266988287
"1941",165009.285408299
"1942",190371.251288875
"1943",216990.790401312
"1944",323946.487151263
"1945",385446.364471974
"1947",155938.256244041
"1948",165312.2848371
"1949",229912.102492691
"1950",192624.738813932
"1951",239649.853163861
"1952",217181.305076134
"1953",161720.928659026
"1954",185617.968137217
"1955",132991.573476071
"1956",302490.823022109
"1957",155410.802826361
"1958",283689.201942684
"1959",146842.648888258
"1960",119057.836751512
"1961",119714.76973088
"1962",100068.929665914
"1963",105396.916244664
"1964",110608.629037833
"1965",146750.638108323
"1966",143516.766961216
"1967",305490.953643388
"1968",395721.408991019
"1969",382656.691041845
"1970",400774.492911099
"1971",527400.339608166
"1972",384900.473142591
"1973",271727.51155487
"1974",317690.870945332
"1975",515891.816708264
"1976",283992.019444665
"1977",353005.423349396
"1978",323071.482914582
"1979",352873.451025881
"1980",205529.400771376
"1981",366257.94132981
"1982",231385.362684934
"1983",211372.240479289
"1984",180536.464585909
"1985",224447.381893717
"1986",217991.556795885
"1987",179660.722958446
"1988",169533.018740162
"1989",190547.549069943
"1990",205837.270141885
"1991",242639.61916627
"1992",208547.341106027
"1993",170830.13925498
"1994",245286.08363647
"1995",185082.245135136
"1996",258670.14871951
"1997",323681.845256004
"1998",327823.944558505
"1999",255987.507735785
"2000",326636.595961174
"2001",267919.646937523
"2002",248911.740610021
"2003",251889.563489267
"2004",281669.978528448
"2005",228497.77719533
"2006",231292.186653958
"2007",257260.529376322
"2008",216395.875769809
"2009",191507.544611976
"2010",192161.600062454
"2011",147279.670034675
"2012",167510.706594394
"2013",169896.092799198
"2014",180348.903846156
"2015",196659.308241343
"2016",182932.754231134
"2017",190719.280711536
"2018",123759.340389371
"2019",129445.534166819
"2020",110386.493074298
"2021",96098.6359114828
"2022",191398.523929357
"2023",155543.883847144
"2024",268896.369947869
"2025",358287.339317235
"2026",173382.585371692
"2027",154628.910704966
"2028",157500.415194774
"2029",170080.175484017
"2030",283737.636691333
"2031",250963.285214036
"2032",259079.639763936
"2033",275128.568698844
"2034",171553.431180788
"2035",223466.146538028
"2036",208732.177492094
"2037",213595.072566108
"2038",358272.841175973
"2039",218663.831366406
"2042",209096.527136069
"2043",181277.827749965
"2044",164600.298193342
"2045",211275.374142005
"2046",142862.508168396
"2047",152446.855733049
"2048",142418.548358055
"2049",147284.683566487
"2050",176547.985827606
"2051",101028.135550222
"2052",127161.993888351
"2053",151862.241547319
"2054",94317.2409654256
"2055",164691.113760987
"2056",151651.098925944
"2057",116949.896708082
"2058",213499.767765283
"2059",132269.007973619
"2060",187823.468671235
"2061",185691.893396609
"2062",129527.851185177
"2063",112168.488388752
"2064",138104.595141397
"2065",116697.304344137
"2066",170501.842278295
"2067",98873.5198460434
"2068",148657.707724266
"2069",86029.0336605445
"2070",112353.521112608
"2071",93820.4739407022
"2072",142623.689815341
"2073",143448.738632175
"2074",188699.915179478
"2075",149368.526531304
"2076",109974.927352051
"2077",151175.191740131
"2078",122909.367269379
"2079",138584.673467496
"2080",124418.949206033
"2081",124276.316920266
"2082",116356.171202046
"2083",144746.970852249
"2084",109092.338306234
"2085",117643.881298066
"2086",121749.627678781
"2087",133294.690633346
"2088",97801.2070000916
"2089",74155.5601321822
"2090",128663.281023736
"2091",106438.959786125
"2092",126535.219407287
"2093",115727.039323393
"2094",109335.830380176
"2095",130953.284664659
"2096",82539.2838031172
"2097",97167.7791854098
"2098",143176.820404732
"2099",54079.5902149739
"2101",107863.384033369
"2102",132149.14126095
