"","x"
"1461",130545.008893054
"1462",156731.137459861
"1463",193950.272844116
"1464",198930.617823005
"1465",198877.740242501
"1466",175589.708004581
"1467",188310.385335654
"1468",166299.940427666
"1469",197321.18649454
"1470",119116.18741105
"1471",205732.417410932
"1472",95185.9102717009
"1473",95839.3961965928
"1474",147566.965027873
"1475",111039.65333407
"1476",365468.140355632
"1477",257014.384568204
"1478",305804.586223755
"1479",273801.783986163
"1480",464470.006024066
"1481",314964.720162436
"1482",214135.722778174
"1483",176734.036792216
"1484",157343.204126823
"1485",183996.697732022
"1486",196760.154591485
"1487",309087.930921881
"1488",248670.959810449
"1489",196884.757411445
"1490",231039.156160778
"1491",191323.853616898
"1492",100550.077093403
"1493",185564.701389902
"1494",305441.782602014
"1495",296395.572222982
"1496",221689.422239255
"1497",183478.53697369
"1498",161245.65353134
"1499",161932.416592462
"1500",154025.572235116
"1501",173364.772357916
"1502",147170.810525223
"1503",311553.915187581
"1504",250453.944860668
"1505",218576.598612671
"1506",185692.706601159
"1507",242231.125549031
"1508",213738.384088111
"1509",158791.684581531
"1510",143811.330793339
"1511",151112.227168627
"1512",180505.014691214
"1514",157453.709961695
"1515",208460.495341454
"1516",162189.813863888
"1517",170609.436398329
"1518",139143.623451743
"1519",209169.024111405
"1520",130888.41969692
"1521",134165.816118545
"1522",179020.353965417
"1523",114108.13326295
"1524",131572.120086675
"1525",122114.316888024
"1526",119016.306499044
"1527",112367.673732482
"1528",146069.013679339
"1529",141148.57774643
"1530",197769.553545702
"1531",107581.40471536
"1532",105980.685665215
"1533",157152.408406345
"1534",131710.498421642
"1535",166315.526310758
"1536",116722.504935345
"1538",145213.924430474
"1539",216006.635890737
"1540",81868.7320359565
"1541",141394.948550723
"1542",142495.083992967
"1543",195139.725388507
"1544",89650.1639791792
"1545",117563.384255572
"1546",122432.546111126
"1547",130021.88550146
"1548",135011.194577078
"1549",111541.85215324
"1550",127334.866859964
"1551",120165.370294694
"1552",124067.968792365
"1553",139202.269351531
"1554",114046.326394994
"1555",174128.21663041
"1556",71361.0849065456
"1557",110253.94520252
"1558",98681.4239308528
"1560",157104.784125569
"1561",150144.971823999
"1562",128117.914010797
"1563",117607.481182907
"1564",167474.391142173
"1565",150345.597773645
"1566",277275.547882183
"1567",77488.1227490197
"1568",227908.447956432
"1569",155872.515792747
"1570",142568.391969494
"1571",136653.734104463
"1572",149316.538588241
"1574",103117.411560678
"1575",243051.988565055
"1576",259521.554338587
"1577",177524.281211354
"1578",146702.608243597
"1579",149312.496189713
"1580",202046.739682152
"1581",155313.391794453
"1582",122578.774270521
"1583",314028.398868354
"1584",210183.566856565
"1585",133273.599253021
"1586",57954.4978149327
