"","x"
"1461",128093.906968891
"1462",157992.164128473
"1463",192111.493007204
"1464",200456.202485795
"1465",188356.546755107
"1466",178317.044178634
"1467",182274.780133705
"1468",160476.385968502
"1469",195827.542500351
"1470",123118.416207627
"1471",208975.634037655
"1472",97631.4335064863
"1473",95643.598738063
"1474",147811.728027031
"1475",116483.6532327
"1476",373771.380561358
"1477",261363.880228553
"1478",317828.267938749
"1479",295443.134650783
"1480",453581.878283051
"1481",335105.165446256
"1482",211143.070105524
"1483",179890.638661797
"1484",164753.72582029
"1485",180078.819247807
"1486",195337.396873089
"1487",335232.604073231
"1488",243181.755955975
"1489",196221.29981335
"1490",245054.091066945
"1491",192026.931430383
"1492",96474.8284024785
"1493",169030.624186635
"1494",313710.069105799
"1495",299734.175434932
"1496",243233.19219686
"1497",188882.245946259
"1498",164712.52305478
"1499",160483.20598351
"1500",153518.055268095
"1501",179436.111927615
"1502",145670.470099854
"1503",288184.591004531
"1504",251391.42260589
"1505",229793.363221437
"1506",186449.229275887
"1507",246126.345677672
"1508",202020.728627893
"1509",160371.459041864
"1510",145928.796800753
"1511",157283.444540612
"1512",179383.668261231
"1514",154048.525815822
"1515",193509.687181218
"1516",151880.634952484
"1517",172786.179002373
"1518",127186.976367912
"1519",207723.605358617
"1520",133877.327585147
"1521",136379.797677036
"1522",180363.520430834
"1523",117906.914830974
"1524",122009.255775515
"1525",122412.275285127
"1526",142530.822833316
"1527",111941.930266555
"1528",132664.775585957
"1529",155808.239621392
"1530",188252.641457658
"1531",98819.7457613501
"1532",98956.0186800486
"1533",159309.037021098
"1534",123401.324046201
"1535",144761.992591083
"1536",104734.074952275
"1538",147107.944621525
"1539",202119.48225235
"1540",79044.9947111878
"1541",140102.085093397
"1542",139656.842946403
"1543",186026.708689265
"1544",94533.353600187
"1545",123038.896522893
"1546",134948.335222535
"1547",136334.197570316
"1548",147096.262897108
"1549",129025.039229831
"1550",141793.938430943
"1551",107438.092603966
"1552",134689.58579588
"1553",140726.264348418
"1554",110219.361803234
"1555",164519.388666629
"1556",79408.7061108577
"1557",111831.785234636
"1558",106638.348453918
"1560",156115.400596776
"1561",130540.595676434
"1562",132298.622754558
"1563",123980.279457531
"1564",138009.084989071
"1565",152622.767090041
"1566",245077.345047574
"1567",78679.2482672553
"1568",256225.880663396
"1569",145082.968360928
"1570",132864.332188218
"1571",119240.446252106
"1572",139924.510792992
"1574",106139.106093109
"1575",205765.958070062
"1576",282999.146474617
"1577",178974.188308151
"1578",141779.571903349
