"","x"
"1461",126445.384263073
"1462",160191.795642756
"1463",186531.198002893
"1464",193355.87337257
"1465",209241.830914587
"1466",173530.924055802
"1467",186396.253424325
"1468",163684.7810908
"1469",188112.609274923
"1470",122761.409061129
"1471",197140.340221346
"1472",96070.5463017318
"1473",97052.4238554278
"1474",150102.933121735
"1475",111610.908725488
"1476",368174.546041373
"1477",266196.257995292
"1478",307961.834665809
"1479",278457.926280722
"1480",442751.213306526
"1481",312555.482740752
"1482",218968.468824273
"1483",176902.130999798
"1484",158587.876708808
"1485",181288.267686186
"1486",194224.571724442
"1487",319381.59145579
"1488",240086.510768949
"1489",198916.885791137
"1490",233713.032320923
"1491",188469.183065809
"1492",95317.5095969836
"1493",189459.053270857
"1494",321966.3667755
"1495",308144.165420558
"1496",224792.549422924
"1497",187237.586929761
"1498",159337.07652444
"1499",161432.485719274
"1500",153563.881793005
"1501",170584.409503622
"1502",145216.02144968
"1503",290089.486186602
"1504",246412.937303752
"1505",225112.712471492
"1506",185610.220797809
"1507",229785.54750002
"1508",194258.518231156
"1509",157984.997273852
"1510",148082.900242883
"1511",148873.316629834
"1512",184551.878827612
"1514",157545.697623005
"1515",203150.225227535
"1516",161412.349444352
"1517",169342.384007486
"1518",137149.064726555
"1519",209703.6975848
"1520",131196.715491941
"1521",134174.193128609
"1522",181676.043262933
"1523",114631.422381761
"1524",128976.911890585
"1525",123203.669444486
"1526",114670.142747973
"1527",110391.017078432
"1528",146348.674632611
"1529",141426.042230501
"1530",181921.22459393
"1531",105299.080045393
"1532",101249.688458436
"1533",159885.575846388
"1534",122885.154073312
"1535",163392.225281024
"1536",112394.555179559
"1538",150612.661858679
"1539",199683.650467825
"1540",87834.7439657158
"1541",130961.907841681
"1542",147714.414941137
"1543",190636.993472826
"1544",95732.906800529
"1545",120418.715201539
"1546",131353.61004499
"1547",138862.675685085
"1548",145213.474546956
"1549",120225.770512294
"1550",135641.235545015
"1551",115723.664778536
"1552",129485.304907114
"1553",136305.519063205
"1554",115855.913549116
"1555",182723.09697811
"1556",82116.7977685616
"1557",111671.834593394
"1558",97000.7208080996
"1560",143828.678048242
"1561",121266.476787294
"1562",127918.136993875
"1563",114358.421501848
"1564",164608.346280157
"1565",149518.188752723
"1566",251914.258358447
"1567",78019.4876409141
"1568",222892.864389119
"1569",138547.924334575
"1570",139186.891246116
"1571",126969.599946283
"1572",149048.177559581
"1574",118768.306737599
"1575",218994.790629113
"1576",257263.105269218
"1577",175656.938944642
"1578",138823.178160212
"1579",148238.511349841
"1580",198295.383521833
"1581",167136.185406645
"1582",127367.12065056
"1583",309307.881330996
"1584",216802.750643146
"1585",131196.680382487
"1586",63095.3530912017
"1587",97824.6990744883
"1588",146986.241728408
"1589",99930.3113249194
"1590",136109.987862187
"1591",92567.0047538481
"1592",128807.6262779
"1593",127369.059748266
"1595",122261.847635546
"1596",234425.128334599
"1597",195214.098008979
"1598",234290.545068137
"1599",168242.696676091
"1600",164199.234159211
"1601",71154.7288380744
"1602",109102.886314192
"1603",66713.7090141878
"1604",274507.708286749
"1605",247267.521994655
"1606",179217.716346104
"1607",171151.995598029
"1608",209066.277732926
"1609",184965.4935075
"1610",156118.801969896
"1611",142397.347229129
"1612",162283.623512822
"1613",164623.346318933
"1614",118435.265680739
"1615",92382.0467806635
"1616",78272.0925746586
"1617",96846.3235317424
"1618",120760.759382522
"1619",142310.097606152
"1621",139143.52845238
"1622",140918.746889712
"1623",266811.869194503
"1624",201993.445665076
"1625",113814.053168229
"1626",177189.302980218
"1627",187549.854855275
"1628",280643.341681213
"1629",181651.05199067
"1630",354309.112321843
"1631",235280.379110521
"1632",259770.546250395
"1633",167891.976650873
"1634",182960.341088124
"1635",174913.084999742
"1636",152521.072613202
"1637",202455.506609175
"1638",189457.510742782
"1639",184445.528605566
"1640",256833.662774869
"1641",179712.416131333
"1642",228587.515431471
"1643",234033.551941319
"1644",243016.32059495
"1645",217301.58022408
"1646",154959.550990353
"1647",159637.137468861
"1648",132203.7258915
"1649",141460.202102665
"1650",116628.96475424
"1651",127946.493429679
"1652",97896.0794636498
"1653",103613.091861112
"1654",144539.809031802
"1655",144666.330726854
"1656",141831.873807752
"1657",147587.397015609
"1658",142146.120614212
"1659",118997.916826077
"1660",157531.423771831
"1661",429468.792744235
"1662",429060.709375098
"1663",377684.587469427
"1664",563323.053384963
"1665",312231.219379842
"1666",329494.477558761
"1667",342480.468720314
"1668",342492.085884532
"1669",322061.625758523
"1670",359190.317300559
"1671",264993.187970933
"1672",440383.444156473
"1673",303901.776526309
"1674",255904.862113259
"1675",198511.789646865
"1676",195501.875841277
"1677",226087.956864623
"1678",466157.224251564
"1679",352898.889452667
"1680",340708.791301553
"1681",258919.917026968
"1682",306195.945081371
"1683",189394.916864997
"1684",181162.49957851
"1685",168993.453318665
"1686",166732.659267179
"1687",168488.826591132
"1688",187935.530147401
"1689",189775.271644514
"1690",192845.250569168
"1691",179443.060482378
"1692",263652.880833967
"1693",166053.171063365
"1694",180235.228126518
"1695",163295.882931075
"1696",270089.58700962
"1697",171458.541534808
"1698",358996.013552662
"1699",335662.407054468
"1700",248894.101949926
"1701",281922.275643829
"1702",247888.162691921
"1703",252540.755521781
"1704",283535.585909972
"1705",223793.432819094
"1706",206471.115460789
"1707",212281.370797966
"1708",200216.425338533
"1709",292135.582640193
"1710",222581.50423494
"1711",272216.128996829
"1712",266943.599014718
"1713",271470.666874687
"1714",231324.922521845
"1715",207750.835886864
"1716",177368.741309246
"1717",165094.946259246
"1718",134382.468159716
"1719",194846.744927267
"1720",244160.404991028
"1721",164620.451967121
"1722",133500.664422404
"1723",163532.382061285
"1724",204784.775050615
"1725",226080.916287183
"1726",187375.796276499
"1727",154784.018407198
"1728",183676.033072669
"1729",169667.855086769
"1730",164054.455904636
"1731",126813.870935236
"1732",121399.645548326
"1733",109872.744248101
"1735",127783.021691271
"1736",115259.309903468
"1737",314451.557011715
"1738",259753.917124651
"1739",242825.716011855
"1740",212852.804913992
"1741",186169.321462393
"1742",171206.726877107
"1743",181481.953712646
"1744",301343.857866568
"1745",201127.590353573
"1746",221906.54387082
"1747",213452.85531929
"1748",225758.826844951
"1749",152693.683571226
"1750",130423.233135092
"1751",246109.883790006
"1752",116107.081853191
"1753",153670.851501809
"1754",193551.179828509
"1755",165726.688332896
"1756",133012.079435877
"1757",116046.993245072
"1758",155601.879503424
"1759",173675.593471715
"1760",172387.996810285
"1761",157354.584593022
"1762",185822.231091181
"1763",177508.300330971
"1764",116355.089999521
"1765",183234.679765019
"1766",194174.062355363
"1767",238471.126587245
"1768",146657.078324907
"1769",178963.548026862
"1770",149289.668266488
"1771",123108.819013772
"1772",140358.47297675
"1773",132832.753092497
"1774",139371.891099267
"1775",136410.807653365
"1776",126271.512163287
"1777",106718.765339976
"1778",139807.612447527
"1779",109767.309183296
"1780",186463.147167869
"1781",130568.342898328
"1782",91376.7466532481
"1783",145898.989637815
"1784",103404.309595671
"1785",121180.296800579
"1786",135692.848779393
"1787",166184.732190535
"1788",65145.2441446056
"1789",98326.6857819154
"1790",79737.5759275212
"1791",184871.087700694
"1792",168366.471601241
"1793",130685.952315987
"1794",153791.570053276
"1795",132034.087941622
"1796",120899.220001897
"1797",113090.344189348
"1798",116139.188428922
"1799",111158.289377565
"1800",121664.281627238
"1801",144359.8817891
"1802",139428.309973178
"1803",151532.851338718
"1804",147257.582097465
"1805",138688.247629616
"1806",125999.976752873
"1807",126813.226358055
"1808",121503.918747524
"1809",119107.952936837
"1810",139143.001530123
"1811",98317.1728097378
"1812",94161.7577393951
"1813",128744.684114876
"1816",93771.8246508149
"1817",105954.527900973
"1818",139304.60299382
"1819",119350.633307734
