"","y.200.comps"
"1461",121454.761633192
"1462",171015.17883078
"1463",188851.803486237
"1464",204135.822223957
"1465",206265.071993587
"1466",165097.915848954
"1467",177694.129191429
"1468",161171.133011607
"1469",192640.273253301
"1470",120914.458277848
"1471",171258.313421772
"1472",96655.8530333677
"1473",96435.7092473902
"1474",144079.827945486
"1475",106341.225797964
"1476",366117.856685286
"1477",249907.912728285
"1478",297942.839167625
"1479",282311.315199018
"1480",492482.178253293
"1481",356910.601407296
"1482",214846.650449563
"1483",177317.507002169
"1484",155888.526443956
"1485",194329.874281756
"1486",190768.805091375
"1487",345624.78070905
"1488",247791.794213903
"1489",190241.505801786
"1490",259172.157769846
"1491",190150.7465911
"1492",93291.7430922775
"1493",191717.290530206
"1494",314240.668420914
"1495",301351.925461853
"1496",239728.566183533
"1497",171576.571019452
"1498",167516.899091913
"1499",158227.152725179
"1500",156890.526859926
"1501",172582.268910955
"1502",138808.451480169
"1503",296939.577659515
"1504",246696.096438301
"1505",232522.549138956
"1506",189537.773520371
"1507",237224.168573165
"1508",203400.097778848
"1509",160176.064774266
"1510",147823.684214912
"1511",152612.532581035
"1512",182380.542958229
"1513",151713.144239076
"1514",145034.278719562
"1515",187895.19540205
"1516",149680.346680432
"1517",169170.563816032
"1518",130257.735967775
"1519",203064.419458675
"1520",130292.915677549
"1521",133646.64124733
"1522",173279.74194978
"1523",114240.81679396
"1524",132013.702737675
"1525",118136.175310217
"1526",111629.693987732
"1527",103657.841824701
"1528",133718.440201738
"1529",165292.961287811
"1530",198079.342894485
"1531",107151.867832298
"1532",96738.2519249918
"1533",147422.468601615
"1534",134756.590908454
"1535",152951.328283703
"1536",110965.259954192
"1537",66788.0638464884
"1538",166876.302293207
"1539",209928.763863461
"1540",91303.9813211691
"1541",149341.627433099
"1542",139586.137658138
"1543",190530.346509891
"1544",89245.9307629585
"1545",116821.762708117
"1546",134838.094436877
"1547",139627.159368973
"1548",142630.801538481
"1549",119014.172798615
"1550",144918.988451954
"1551",105344.567677682
"1552",139895.058204347
"1553",152797.910864091
"1554",119391.273845555
"1555",167635.994831437
"1556",80851.8748772454
"1557",99073.7300101766
"1558",103095.497881899
"1559",82774.4062017237
"1560",121534.740498112
"1561",111922.123830014
"1562",129892.69604213
"1563",123890.20708674
"1564",158493.099029445
"1565",149264.958166553
"1566",245040.240237237
"1567",77843.3643964352
"1568",255470.852114949
"1569",139955.360870302
"1570",136673.871107805
