"","y.50.comps"
"1461",123934.461973489
"1462",159410.579840367
"1463",186346.279817865
"1464",200716.543711414
"1465",199343.495234065
"1466",172590.160016372
"1467",177137.862291614
"1468",160619.572403683
"1469",190733.183855363
"1470",121622.25851482
"1471",162076.264144458
"1472",93192.1875112297
"1473",96722.4501091839
"1474",145872.755630465
"1475",110546.8570671
"1476",347653.191420233
"1477",254023.353781907
"1478",305496.650104619
"1479",293719.263644307
"1480",503035.350869419
"1481",328127.754745587
"1482",219124.943698729
"1483",173834.2928743
"1484",154588.206893198
"1485",189746.604718933
"1486",189787.912034537
"1487",335975.676714194
"1488",221887.478933032
"1489",192573.016345442
"1490",253620.42976031
"1491",194740.225706058
"1492",94056.8240624883
"1493",176414.183600574
"1494",287153.486668279
"1495",291565.133006165
"1496",235190.801156874
"1497",175442.478659741
"1498",185581.70501666
"1499",161323.498177929
"1500",162556.843112012
"1501",177873.944619681
"1502",140293.938616885
"1503",296645.337721498
"1504",246995.100857937
"1505",232636.532557752
"1506",194940.580358857
"1507",237798.692139212
"1508",198921.267323418
"1509",156887.668851609
"1510",151538.899340768
"1511",168458.905504956
"1512",183428.331610536
"1513",146211.227928742
"1514",161785.536315385
"1515",179984.15679861
"1516",147122.958634574
"1517",161959.955838661
"1518",127596.166112724
"1519",198645.527431755
"1520",130406.019446829
"1521",136956.318352676
"1522",175042.99514113
"1523",119926.075965832
"1524",128273.834845094
"1525",118906.103982475
"1526",113545.015129537
"1527",109495.775384287
"1528",124902.573107488
"1529",164161.861731317
"1530",204492.92349825
"1531",106914.103128294
"1532",89279.1224920409
"1533",151031.589728072
"1534",110903.287243509
"1535",149344.24109146
"1536",103644.321443823
"1537",70917.7329156573
"1538",162129.245076466
"1539",225729.380855318
"1540",82736.683196141
"1541",146082.962361387
"1542",139352.994007729
"1543",186432.415619489
"1544",85537.8914543478
"1545",121620.644247654
"1546",135985.752772763
"1547",143490.241737229
"1548",143866.092272732
"1549",125636.011994646
"1550",147366.542176749
"1551",98551.6812723069
"1552",142878.430378344
"1553",147536.119487964
"1554",119893.775146972
"1555",161804.597663647
"1556",78564.7428732689
"1557",118183.395558331
"1558",109495.978310466
"1559",66164.0195949944
"1560",133442.328679687
"1561",103142.169817222
"1562",130109.744313491
"1563",121579.867895099
"1564",164226.520559298
"1565",157226.129723828
"1566",242639.006727171
"1567",81040.6910214666
"1568",241435.501078449
"1569",140740.954081622
"1570",128584.3442734
"1571",110827.103538117
"1572",137376.257798278
"1573",217034.02224506
"1574",116258.704199878
"1575",244694.417779295
"1576",231437.456893071
"1577",174763.244346441
"1578",154139.499976545
"1579",150666.520160723
"1580",193382.284731432
"1581",154776.069169445
"1582",131528.172705541
"1583",292692.114033112
"1584",215156.696327486
"1585",134510.079108344
"1586",71123.2016786062
"1587",118765.874470729
"1588",150027.072567698
"1589",101843.627778432
"1590",127248.428266739
"1591",97448.3899642827
"1592",131364.274468429
"1593",128520.948035217
"1594",141187.902745733
"1595",133970.970674768
"1596",219166.331944592
"1597",204419.802572694
"1598",228339.394412899
"1599",172944.248697415
"1600",161094.559034511
"1601",64403.0429616403
"1602",117285.208251528
"1603",59384.7550799139
"1604",273535.516993093
"1605",231001.201160499
"1606",171724.266255192
"1607",161143.359858484
"1608",218803.100570235
"1609",172511.453884005
"1610",157372.760881631
"1611",136508.44242017
"1612",171272.062734107
"1613",166005.770732422
"1614",126544.140152567
"1615",87728.5897803909
"1616",77425.3164612431
"1617",89781.9267138245
"1618",140817.533435846
"1619",137365.226156947
"1620",165331.793934607
"1621",131097.108367809
"1622",150038.340475468
"1623",262198.207398557
"1624",197784.891774836
"1625",110298.299809468
"1626",173287.847582964
"1627",191338.36033648
"1628",277528.230614252
"1629",183606.259810654
"1630",345712.543825394
"1631",238594.009677352
"1632",252998.37661205
"1633",169156.967456653
"1634",178434.812443985
"1635",174159.794236297
"1636",151514.640404733
"1637",212383.4051198
"1638",189121.10833088
"1639",189841.549343666
"1640",239965.537605405
"1641",183819.938310013
"1642",255022.151845193
"1643",236293.401822473
"1644",243857.478829665
"1645",201595.751501358
"1646",159001.488368774
"1647",158482.855186539
"1648",130589.053324166
"1649",140560.572580286
"1650",114842.364374597
"1651",118040.446763391
"1652",97312.1679848037
"1653",101087.857188678
"1654",144127.322805071
"1655",133664.802181877
"1656",143025.684716809
"1657",153829.807845085
"1658",146878.961780999
"1659",119642.651703945
"1660",154257.765178755
"1661",409097.198846549
"1662",420333.322849329
"1663",400641.154316655
"1664",459424.327394991
"1665",329327.451406562
"1666",293660.073354979
"1667",375991.616603495
"1668",372838.866974847
"1669",332257.630896192
"1670",360753.488231862
"1671",270950.94943562
"1672",447282.312998302
"1673",303256.851051407
"1674",247542.587456608
"1675",204721.756628158
"1676",201736.943801201
"1677",228365.549141056
"1678",419164.531787936
"1679",408891.824289004
"1680",339974.728705182
"1681",266840.740033126
"1682",329175.184362086
"1683",193112.789612952
"1684",179337.100272038
"1685",172911.976085743
"1686",165917.759087215
"1687",167843.95139262
"1688",181265.662562672
"1689",190350.450661449
"1690",191246.941488161
"1691",184380.144754764
"1692",264493.447190606
"1693",170944.642688181
"1694",182923.281996507
"1695",168886.110661495
"1696",294010.263434298
"1697",178013.920516823
"1698",343632.107572449
"1699",315844.91179608
"1700",260959.345715897
"1701",265171.772880877
"1702",220973.754884648
"1703",224181.980241903
"1704",272064.203597394
"1705",234796.675054173
"1706",361792.372854855
"1707",204042.492184772
"1708",206640.748826981
"1709",278575.359442547
"1710",224073.153824073
"1711",288133.180272946
"1712",250923.172007468
"1713",286537.184955162
"1714",221908.863718026
"1715",210774.032587384
"1716",184090.025361897
"1717",174746.320570585
"1718",137725.915483024
"1719",203391.571777635
"1720",186938.467755258
"1721",151010.470698978
"1722",122246.307152416
"1723",153819.790489139
"1724",196067.148505087
"1725",245600.02426255
"1726",187987.056494238
"1727",150158.133030432
"1728",157745.185304604
"1729",176462.5602158
"1730",155561.639666151
"1731",118191.821958152
"1732",123143.120834194
"1733",108576.178267236
"1734",137026.235179876
"1735",107184.59226895
"1736",104350.476074506
"1737",318389.012584822
"1738",276842.519539984
"1739",223315.142000628
"1740",211930.078201708
"1741",192365.336958886
"1742",172714.607654143
"1743",172529.813523443
"1744",432073.913698569
"1745",211696.159033216
"1746",182145.066000841
"1747",205543.950174449
"1748",232133.19468398
"1749",142629.99344382
"1750",119941.903095371
"1751",245323.038973753
"1752",117113.872133154
"1753",156449.369166697
"1754",194065.7058835
"1755",168860.643594545
"1756",134016.334862587
"1757",121355.801661194
